Region,Buyer,Model,Model Year,Supplier,text
China,GAC Honda,Honda Crider (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(6MT)
China,GAC Honda,Honda Crider (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(CVT)
China,GAC Honda,Honda Crider Sport Hybrid (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(E-CVT)
China,GAC Honda,Honda EA6 (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose
China,GAC Honda,Honda Fit (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(CVT)
China,GAC Honda,Honda Odyssey Sport Hybrid (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0L)(E-CVT)
China,GAC Honda,Everus VE-1 (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose
China,GAC Honda,Honda Vezel (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(6MT)
China,GAC Honda,Honda Vezel (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(CVT)
China,GAC Honda,Honda Vezel (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(CVT)
China,GAC Motor,Trumpchi GA6 (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(6AT)
China,GAC Motor,Trumpchi GA8 (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0L)(6AT)
Americas,GM,Chevrolet Suburban (USA),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Chevrolet Tracker (Brazil),2021,Cooper Standard Automotive Brasil Sealing Ltda.,Vacuum hose
Americas,GM,Chevrolet Tracker (Brazil),2021,Tenneco Inc.,Brake line
ASEAN・India・Korea,GM,Chevrolet Trax (Korea),2021,Bosch (Robert Bosch GmbH),Brake booster vacuum hose(1.4T)
ASEAN・India・Korea,Honda,Accord (Thailand),2021,Nichirin (Thailand) Co. Ltd.,Brake hose
